ID Cor,Nome,Código
128745,"verdeLimao_escuro","#FFFFFF"
128746,"verdeMescla","#FFFFFF"
129570,"cremeMarinhoPoa","#FFFFFF"
130028,"caramelo","#FFFFFF"
135299,"creme_pink","#FFFFFF"
135300,"amarelo_marinho","#FFFFFF"
136695,"jeans","#FFFFFF"
136696,"amarelo_verde","#FFFFFF"
144142,"brancoLilasPoa","#FFFFFF"
144143,"cremeRosaPoa","#FFFFFF"
146173,"rose","#FFFFFF"
153714,"turquesaMarinhoPoa","#FFFFFF"
166716,"cremeVermelhoPoa","#FFFFFF"
